HotelID,HotelName
3922,RI San Jose SouthCA 9606
3946,RI ScrantonPA 9279
3927,RI SheltonCT 9632
3947,RI The WoodlandsTX 9280
3907,RI TroyMI 9629
3926,RI TukwilaWA 9609
3948,RI VacavilleCA 9281
3950,RI West Palm BeachFL 9283
3951,RI West SpringfieldMA 9284
3911,RI WindsorCT 9631
3928,RI WorcesterMA 9804
3972,SHER RockvilleMD 9643
3973,SHER San Jose MilpitasCA 9289
3956,SHS ChandlerAZ 9286
4370,SHS Colorado Springs NorthCO 9953
3954,SHS El PasoTX 9901
3955,SHS Manchester AirportNH 9808
3958,TPS HorshamPA 9642
3957,TPS Manchester AirportNH 9809
4364,TPS RoswellNM 9951
3959,TPS SpringfieldVA 9287
3101,TRU Orlando Convention CenterFL 9940
3974,WI Governor MorristownNJ 9605
4611,WIN Galveston East BeachTX 3595
